City,q,Q_bc_avg
Quanzhou,0.72,0.0014765514809590974
Quanzhou,0.73,0.0013531382228490836
Quanzhou,0.74,0.0012693935119887164
Quanzhou,0.75,0.001247355430183357
Quanzhou,0.76,0.0011834449929478135
Quanzhou,0.77,0.0011173307475317348
Quanzhou,0.78,0.0010181593794076165
Quanzhou,0.79,0.000982898448519041
Quanzhou,0.8,0.0009366184767277856
Quanzhou,0.81,0.0009432299012693934
Quanzhou,0.82,0.0008065937940761637
Quanzhou,0.83,0.000791167136812412
Quanzhou,0.84,0.0007294605077574048
Quanzhou,0.85,0.0007537023977433005
Quanzhou,0.86,0.0006897919605077576
Quanzhou,0.87,0.000647919605077574
Quanzhou,0.88,0.0005950282087447109
Quanzhou,0.89,0.0005972320169252467
Quanzhou,0.9,0.0005531558533145274
Quanzhou,0.91,0.0005245063469675598
Quanzhou,0.92,0.0004627997179125529
Quanzhou,0.93,0.0004980606488011283
Quanzhou,0.94,0.0004319464033850495
Quanzhou,0.95,0.000401093088857546
Quanzhou,0.96,0.0003812588152327223
Quanzhou,0.97,0.0003526093088857547
Quanzhou,0.98,0.0003151445698166433
Quanzhou,0.99,0.00027547602256699583
Quanzhou,1.0,0.0
Shenyang,0.0,0.9121538461538459
Shenyang,0.01,0.8949990384615383
Shenyang,0.02,0.8783125
Shenyang,0.03,0.862473076923077
Shenyang,0.04,0.8423567307692309
Shenyang,0.05,0.8267913461538461
Shenyang,0.06,0.8078509615384615
Shenyang,0.07,0.7900365384615387
Shenyang,0.08,0.7722211538461539
Shenyang,0.09,0.7485375000000001
Shenyang,0.1,0.7287096153846153
Shenyang,0.11,0.7119182692307693
Shenyang,0.12,0.6900461538461539
Shenyang,0.13,0.6678471153846154
Shenyang,0.14,0.644875
Shenyang,0.15,0.6213442307692308
Shenyang,0.16,0.5992288461538461
Shenyang,0.17,0.5711471153846154
Shenyang,0.18,0.5518875000000001
Shenyang,0.19,0.5222798076923076
Shenyang,0.2,0.5017038461538463
Shenyang,0.21,0.4640961538461538
Shenyang,0.22,0.4282990384615384
Shenyang,0.23,0.4036346153846154
Shenyang,0.24,0.3678336538461538
Shenyang,0.25,0.33677980769230764
Shenyang,0.26,0.29749903846153847
Shenyang,0.27,0.25710865384615383
Shenyang,0.28,0.21408750000000004
Shenyang,0.29,0.18029807692307692
Shenyang,0.3,0.15148750000000002
Shenyang,0.31,0.1190048076923077
Shenyang,0.32,0.09634807692307693
Shenyang,0.33,0.07152307692307691
Shenyang,0.34,0.059542307692307686
Shenyang,0.35,0.04902596153846154
Shenyang,0.36,0.03550192307692307
Shenyang,0.37,0.02983557692307693
Shenyang,0.38,0.025998076923076922
Shenyang,0.39,0.020200000000000003
Shenyang,0.4,0.014357692307692307
Shenyang,0.41,0.013963461538461541
Shenyang,0.42,0.011228846153846155
Shenyang,0.43,0.008970192307692307
Shenyang,0.44,0.008107692307692307
Shenyang,0.45,0.00788846153846154
Shenyang,0.46,0.006540384615384616
Shenyang,0.47,0.005261538461538461
Shenyang,0.48,0.004933653846153846
Shenyang,0.49,0.004476923076923078
Shenyang,0.5,0.003950961538461538
Shenyang,0.51,0.003826923076923077
Shenyang,0.52,0.003231730769230769
Shenyang,0.53,0.0029490384615384613
Shenyang,0.54,0.0028836538461538457
Shenyang,0.55,0.0025192307692307697
Shenyang,0.56,0.002393269230769231
Shenyang,0.57,0.0022788461538461534
Shenyang,0.58,0.0020490384615384615
Shenyang,0.59,0.0017932692307692307
Shenyang,0.6,0.0017384615384615383
Shenyang,0.61,0.0014557692307692308
Shenyang,0.62,0.0014048076923076926
Shenyang,0.63,0.001266346153846154
Shenyang,0.64,0.0011807692307692307
Shenyang,0.65,0.001130769230769231
Shenyang,0.66,0.0010894230769230768
Shenyang,0.67,0.0010644230769230767
Shenyang,0.68,0.0009653846153846153
Shenyang,0.69,0.0008326923076923077
Shenyang,0.7,0.0008951923076923078
Shenyang,0.71,0.0007971153846153846
Shenyang,0.72,0.0007500000000000001
Shenyang,0.73,0.0007028846153846152
Shenyang,0.74,0.0006721153846153847
Shenyang,0.75,0.0006451923076923078
Shenyang,0.76,0.0005951923076923076
Shenyang,0.77,0.0005701923076923077
Shenyang,0.78,0.0005576923076923077
Shenyang,0.79,0.0004846153846153847
Shenyang,0.8,0.0005134615384615384
Shenyang,0.81,0.0004471153846153846
Shenyang,0.82,0.0004576923076923077
Shenyang,0.83,0.00040192307692307695
Shenyang,0.84,0.00033846153846153846
Shenyang,0.85,0.0004067307692307692
Shenyang,0.86,0.00031346153846153855
Shenyang,0.87,0.00036057692307692315
Shenyang,0.88,0.00029230769230769235
