排名,节点ID,X坐标,Y坐标,度数,介数中心性
8195,28478,466519.7808,4379401.7721,3,0.00017342
8196,10244,382517.1212,4308778.1145,2,0.0001733
8197,32434,476846.1606,4415044.3954,4,0.00017321
8198,16582,380393.2796,4319811.2193,3,0.00017318
8199,19946,390073.0342,4324957.824,3,0.00017315
8200,3880,377613.1343,4304022.2293,3,0.0001725
8201,12916,377039.294,4311534.0219,2,0.00017249
8202,28563,468623.1507,4380089.0265,2,0.00017239
8203,14323,374513.7604,4314940.0087,3,0.00017238
8204,1753,354159.1872,4298150.6892,2,0.00017233
8205,4954,372402.5027,4304714.07,3,0.00017229
8206,30105,501845.3464,4393590.3077,4,0.00017222
8207,7956,376502.6411,4307774.2504,3,0.00017211
8208,30014,497632.5305,4393167.1595,3,0.00017199
8209,18057,393995.2858,4322798.3267,4,0.00017198
8210,30071,489747.4112,4393412.9429,2,0.00017187
8211,4281,372668.0026,4304283.7672,3,0.0001716
8212,27248,409589.6295,4367181.5931,2,0.00017136
8213,4560,377030.3185,4304490.3237,4,0.00017134
8214,27130,441040.8521,4366933.5481,2,0.0001713
8215,5026,387385.5393,4304688.2842,2,0.00017085
8216,30920,389391.373,4398642.6796,3,0.00017074
8217,25681,403194.3696,4357292.8505,4,0.0001707
8218,2310,371155.4721,4300654.5837,3,0.00017045
8219,34616,405863.1255,4325702.5462,4,0.00017026
8220,7153,377811.1207,4307304.0724,3,0.00017019
8221,7649,379879.085,4307610.8484,4,0.00017016
8222,21109,399374.6521,4326178.1645,4,0.00016997
8223,3815,343758.1875,4303855.6175,2,0.00016986
8224,1136,350746.2188,4297150.6686,3,0.00016956
8225,19380,399985.1902,4324273.9773,3,0.00016951
8226,27181,383495.1587,4367153.05,2,0.0001694
8227,23279,400904.351,4337377.7891,3,0.00016938
8228,30464,391784.189,4394658.1298,2,0.00016935
8229,11841,379012.8201,4310030.0794,4,0.00016919
8230,10319,376947.4564,4308809.8616,4,0.00016915
8231,4344,369917.5905,4304321.5909,3,0.00016901
8232,25317,428673.9831,4353278.6451,3,0.00016898
8233,9434,378853.8374,4308440.0259,4,0.00016876
8234,1056,349154.7499,4297016.3225,3,0.00016856
8235,2931,364872.475,4302587.2737,2,0.00016842
8236,2807,370893.3925,4302383.0683,4,0.00016809
8237,35022,389552.8829,4332405.7293,3,0.00016791
8238,2721,371984.6435,4302172.2415,3,0.00016787
8239,1122,352596.7905,4297140.0666,3,0.0001678
8240,27626,394587.4113,4370578.8065,3,0.00016771
8241,28728,362024.3232,4381857.5773,4,0.00016767
8242,24530,409456.6286,4345519.1231,3,0.00016738
8243,13010,371476.0651,4312004.9593,3,0.00016736
8244,13627,372924.8408,4313494.7001,3,0.00016732
8245,19236,395139.6089,4324114.3593,3,0.00016727
8246,9829,375910.921,4308625.758,3,0.00016727
8247,33160,472777.9019,4431109.3669,3,0.0001672
8248,13209,372672.7318,4312567.6375,3,0.0001672
8249,16858,381529.1006,4320587.3613,2,0.00016716
8250,18031,393724.5034,4322787.4051,3,0.00016716
8251,29432,458685.2418,4389695.7338,3,0.00016709
8252,1420,352341.8614,4297486.7039,2,0.00016695
8253,10218,382034.1169,4308770.4892,4,0.00016689
8254,875,352786.3534,4296711.1335,3,0.00016674
8255,34742,398195.6875,4326426.6589,3,0.00016671
8256,1464,352343.0165,4297538.9712,2,0.00016665
8257,9578,378191.2684,4308505.4751,3,0.00016654
8258,12000,378831.4643,4310187.1524,4,0.00016653
8259,33832,378625.3401,4309484.1486,3,0.00016649
8260,5501,373348.3604,4305085.1098,3,0.00016648
8261,4220,370018.5992,4304252.3509,3,0.00016633
8262,14578,356662.7701,4315513.076,3,0.00016626
8263,11258,382368.2949,4309450.4619,3,0.00016606
8264,18718,392603.7785,4323567.3313,3,0.000166
8265,27060,411355.021,4366643.8157,2,0.00016592
8266,24012,409287.2089,4342457.1329,3,0.00016582
8267,31735,494989.358,4407913.8255,3,0.00016576
8268,14556,383094.0773,4315440.0308,3,0.00016551
8269,15569,379867.7594,4317516.1972,3,0.00016535
8270,32509,384121.0861,4416027.0323,3,0.00016506
8271,29502,383523.931,4390170.2192,4,0.00016499
8272,7066,379338.9112,4307221.0519,4,0.00016498
8273,25628,429851.5977,4354967.4356,2,0.00016479
8274,4567,369934.5704,4304492.1071,3,0.00016471
8275,20743,405198.0313,4325897.7633,2,0.00016467
8276,30563,493474.5704,4395624.1635,3,0.00016465
8277,17128,393301.0829,4321434.3352,3,0.0001646
8278,25837,405884.8288,4358879.0361,3,0.00016448
8279,32746,452304.3268,4419962.2707,3,0.00016437
8280,31034,435079.2445,4397846.0169,2,0.00016423
8281,536,339062.1416,4294573.381,3,0.00016403
8282,11919,374996.2758,4310125.7685,2,0.0001639
8283,4055,344941.1173,4304160.2362,2,0.00016382
8284,11488,378627.3594,4309638.2118,3,0.00016376
8285,10221,381939.4639,4308771.9023,4,0.00016354
8286,4178,372307.7474,4304219.1925,3,0.00016354
8287,1754,354144.7598,4298150.1108,3,0.00016353
8288,31731,377955.8323,4407902.5459,3,0.00016352
8289,6685,376471.7767,4306789.8413,4,0.0001635
8290,3752,370930.6256,4303906.9966,3,0.00016334
8291,3739,373559.0873,4303898.5957,3,0.00016312
8292,10576,382075.9467,4308912.8342,3,0.00016307
8293,4837,377110.1071,4304639.0272,4,0.00016297
8294,17681,395775.0772,4322220.4025,3,0.00016294
8295,18636,396853.5967,4323446.7086,3,0.00016293
8296,27664,395073.1073,4370861.7971,4,0.00016292
8297,3363,371490.0347,4303443.2614,3,0.00016286
8298,11253,382898.9397,4309445.4786,2,0.00016265
8299,14349,357041.235,4315049.4073,4,0.00016262
8300,13618,370574.9244,4313487.1144,3,0.00016252
8301,12286,376697.6338,4310537.5131,3,0.00016234
8302,11835,381500.4199,4310023.1517,3,0.00016225
8303,31551,509725.1314,4405246.1667,3,0.00016215
8304,19295,400022.6923,4324221.4217,3,0.00016205
8305,31403,404240.3294,4403597.2988,2,0.00016199
8306,4033,370597.0151,4304146.4548,3,0.00016188
8307,28396,469553.9447,4378864.5167,4,0.00016183
8308,28699,398899.7344,4380988.7464,3,0.00016181
8309,2474,369931.5275,4301307.3444,3,0.00016173
8310,14634,378427.0783,4315641.8767,3,0.00016165
8311,28985,476363.342,4385027.543,2,0.00016125
8312,33011,473164.9897,4428725.0412,4,0.0001612
8313,10791,380709.6264,4309051.9746,3,0.00016119
8314,277,337880.045,4290191.1609,3,0.00016115
8315,20665,413670.4463,4325789.3018,3,0.00016112
8316,12892,374960.4583,4311485.2048,3,0.00016094
8317,15795,378992.9482,4318216.4274,3,0.00016077
8318,24364,399482.135,4343872.2704,3,0.00016076
8319,30783,389161.1414,4397686.3441,4,0.00016076
8320,2715,371322.8855,4302135.8301,3,0.00016074
8321,32514,427988.534,4416049.3538,3,0.00016069
8322,28528,467805.1976,4379916.8591,3,0.00016066
8323,18033,393579.4393,4322789.9427,3,0.00016029
8324,14676,400195.4297,4315707.6833,3,0.00016029
8325,11359,381779.3752,4309528.0147,3,0.00016006
8326,10305,381933.5325,4308802.6604,3,0.0001598
8327,7361,379225.046,4307431.5628,4,0.00015975
8328,4412,345960.0808,4304384.7495,2,0.00015967
8329,23654,393403.032,4340360.0403,2,0.00015965
8330,1876,340463.0249,4298544.0091,3,0.00015953
8331,9603,382231.6111,4308518.1145,3,0.00015948
8332,7725,376890.2922,4307639.6636,3,0.0001592
8333,29859,496920.5609,4392140.9411,3,0.00015919
8334,34277,380079.3975,4319573.6368,3,0.00015905
8335,12759,376859.3872,4311302.3174,3,0.00015885
8336,26597,426296.7742,4364605.8605,4,0.0001588
8337,24049,409459.4319,4342629.7527,3,0.00015843
8338,33646,377063.7517,4307400.3946,4,0.00015823
8339,18688,392540.611,4323531.3647,3,0.00015816
8340,9055,379282.8941,4308253.5058,3,0.00015809
8341,8686,381488.6377,4308081.1725,3,0.00015807
8342,11860,375523.8031,4310049.8386,3,0.00015806
8343,13574,377466.0135,4313401.4826,3,0.00015792
8344,1486,353342.0066,4297583.7212,3,0.00015763
8345,3931,372473.5979,4304069.9476,3,0.00015761
8346,30440,488492.7358,4394977.349,3,0.0001575
8347,29579,459968.9313,4390586.4985,3,0.00015727
8348,17227,394045.5352,4321813.6921,3,0.000157
8349,11771,381560.2176,4309952.0357,3,0.00015686
8350,4519,377105.0898,4304464.5087,3,0.00015685
8351,32246,392055.2441,4412248.6402,2,0.00015682
8352,8905,383113.3843,4308182.5942,4,0.00015646
8353,15599,379907.5955,4317629.9017,3,0.00015641
8354,9624,383670.2383,4308525.1635,4,0.00015632
8355,32902,501082.0255,4425012.9351,3,0.00015615
8356,27576,454142.9752,4370152.9754,3,0.00015602
8357,9029,385247.306,4308238.8462,3,0.00015598
8358,9520,380483.9677,4308471.5142,3,0.00015597
8359,1292,353522.5674,4297320.1757,3,0.00015569
8360,16193,379302.2777,4319422.6288,3,0.0001556
8361,23283,412704.5681,4335502.9267,2,0.00015559
8362,24526,388191.4649,4345477.4542,3,0.00015558
8363,2421,371358.488,4301204.5703,4,0.00015556
8364,25832,435216.2375,4358847.9009,3,0.00015551
8365,9542,378716.007,4308487.5948,4,0.0001555
8366,11896,376533.3062,4310102.4788,3,0.00015545
8367,11285,373002.5364,4309476.9943,3,0.0001552
8368,33085,405678.0319,4430048.353,3,0.00015516
8369,14406,357732.6156,4315162.4134,3,0.00015507
8370,19733,396558.7446,4324645.4786,3,0.0001548
8371,31959,520128.3592,4409792.4397,3,0.0001546
8372,30186,517486.0262,4393856.0869,4,0.00015456
8373,27391,392616.2714,4368907.3814,4,0.0001545
8374,31929,519386.8281,4409529.1818,2,0.00015424
8375,3726,373824.359,4303875.2154,4,0.00015424
8376,15588,379845.4208,4317616.2412,3,0.00015376
8377,16232,396774.3598,4319461.3423,4,0.00015369
8378,29651,400540.7448,4390932.2834,3,0.00015365
8379,14295,377105.4431,4314891.8188,3,0.00015354
8380,11072,383257.7275,4309329.2035,3,0.00015343
8381,17528,395460.1015,4322083.7695,3,0.0001534
8382,3551,374059.2526,4303693.0804,3,0.00015315
8383,34065,372952.7076,4313437.2828,2,0.00015287
8384,6634,345992.3013,4304420.2825,2,0.00015278
8385,28671,468867.854,4380783.3862,2,0.00015276
8386,22596,388116.0902,4330009.0912,3,0.00015271
8387,28713,360281.9364,4381570.6712,3,0.00015266
8388,2342,341167.9454,4300777.333,2,0.00015254
8389,25916,408314.3274,4359753.4732,3,0.00015252
8390,9168,380081.045,4308303.7091,3,0.00015245
8391,30643,497606.5502,4396062.065,3,0.00015239
8392,5818,373149.8339,4305375.5484,3,0.00015234
8393,28443,465169.5328,4379210.1768,3,0.0001523
8394,31459,370797.3241,4404207.7276,3,0.00015221
8395,29067,485451.4087,4386407.5781,3,0.0001521
8396,7343,376942.8124,4307416.5284,3,0.00015188
8397,13911,378266.594,4314301.4912,3,0.00015184
8398,25883,408854.7752,4359307.1265,3,0.00015179
8399,30115,489942.814,4393623.4223,3,0.00015175
8400,9382,383879.1749,4308412.7013,3,0.00015174
8401,29712,497574.9765,4391313.5433,3,0.00015168
8402,28766,363232.8146,4382410.1028,4,0.00015166
8403,9028,383858.8131,4308238.5086,3,0.00015161
8404,17397,395291.7642,4321948.1714,4,0.00015155
8405,2769,370376.2976,4302268.7402,3,0.00015132
8406,31239,389302.2884,4401240.0929,3,0.00015122
8407,12016,376488.8151,4310205.9418,3,0.00015121
8408,22828,387839.195,4333436.556,3,0.00015106
8409,20094,399171.564,4325171.1405,3,0.00015091
8410,13868,378409.82,4314209.392,2,0.00015086
8411,15733,378939.8117,4318081.6629,3,0.00015082
8412,26598,426111.4012,4364506.0611,3,0.00015071
8413,28623,396900.7522,4374733.6369,2,0.00015058
8414,12272,371485.7821,4310516.2166,3,0.00015057
8415,1240,351752.0018,4297253.0111,3,0.00015056
8416,11885,375488.8026,4310092.3166,3,0.00015054
8417,20607,399590.4419,4325743.2889,4,0.00015052
8418,25852,434136.0032,4359041.3132,3,0.0001505
8419,7779,381883.1864,4307659.7147,3,0.00015044
8420,25007,395582.4815,4348808.2432,2,0.00015039
8421,10036,379954.7891,4308706.8863,3,0.00015037
8422,14073,356831.045,4314497.169,3,0.00015033
8423,140,338030.5994,4289098.2275,3,0.00015028
8424,918,347703.3053,4296781.0854,3,0.00015026
8425,34235,399827.9069,4318395.8703,3,0.00015018
8426,11386,372756.0488,4309553.9234,3,0.00014995
8427,33279,509462.2266,4433514.0972,4,0.00014992
8428,30892,495696.9027,4398490.516,2,0.00014984
8429,3319,372917.2152,4303377.991,3,0.00014982
8430,21949,394486.3647,4327692.5381,3,0.00014976
8431,13514,373683.4301,4313346.2854,3,0.00014954
8432,26368,437399.0064,4362937.0339,3,0.00014953
8433,15346,378386.8055,4317100.5718,3,0.00014931
8434,4387,369950.3877,4304360.0377,3,0.00014901
8435,26520,409218.3138,4363754.7855,3,0.00014897
8436,17418,396064.4215,4321974.2934,3,0.0001489
8437,13157,377071.7931,4311570.8022,2,0.00014881
8438,25927,434377.1762,4359888.4788,3,0.00014878
8439,9837,383205.4829,4308630.6288,4,0.00014871
8440,24976,425877.614,4348700.0029,3,0.00014871
8441,32253,474504.3087,4412771.7897,3,0.00014865
8442,30330,495028.4761,4394333.1939,3,0.00014858
